Service_Provider,Deal,Services_Offered,Price,Details
AIMS BEAUTY SALON,DEAL 19,DEAL 19 MAKEUP DEAL Soft Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron,"Rs. 3,000/-","DEAL 19 MAKEUP DEAL Soft Party Makeup by Senior Makeup Artist Makeover Lashes Nail Color Hairdo Blow dry Tongs / Iron Rs. 3,000/-"
VANITY SALON & SPA,DEAL 17,DEAL 17 Whitening Facial Hair Spa Hands and Feet Polisher,"Rs. 3,500/-","DEAL 17 Whitening Facial Hair Spa Hands and Feet Polisher  Rs. 3,500/-"
NMS BEAUTY SALON,DEAL 18,DEAL 18 HAIR DEAL Re-bonding / Extenso / Relaxing 3rd Day Wash (Waist Length),"Rs. 14,000/-, Rs.10,000/-, Rs.12,000/-","DEAL 18 HAIR DEAL Re-bonding / Extenso / Relaxing 3rd Day Wash (Waist Length) Rs. 14,000/- (Shoulder Length) (Mid Length) Rs.10,000/- Rs.12,000/-"
[NSIWVA SYNLOWN,DEAL 16,DEAL 16 FULL BODY WAX (WITHOUT BIKINI) 5 Minutes Soothing Massage Feet Polish Hand Polish Upper Lips Thread Eyebrows Thread,"Rs. 1,999/-","DEAL 16 FULL BODY WAX (WITHOUT BIKINI) 5 Minutes Soothing Massage Feet Polish Hand Polish Upper Lips Thread Eyebrows Thread Rs. 1,999/-  BUY 1 GETS SERVICES FREE"
AIMS BEAUTY SALON,DEAL 39,DEAL 39 HAIR DEAL Base Color Highlights Lowlights Balayage Streaks (Shoulder Length) (Mid Length),"Rs.10,000/-, Rs.12,000/-","DEAL 39 HAIR DEAL Base Color Highlights Lowlights Balayage Streaks (Shoulder Length) (Mid Length) Rs.10,000/-_ Rs.12,000/-"
AIMS BEAUTY SALON,DEAL 10,DEAL 10 SKIN DEAL Full Body Wax Body Soothing Massage Face Wax (Rica) Head Oil Massage Eyebrows / Upper Lips,"Rs. 6,500/-","DEAL 10 SKIN DEAL Full Body Wax Body Soothing Massage Face Wax (Rica) Head Oil Massage Eyebrows / Upper Lips Rs. 6,500/- Sean this QR a"
NIMS BEAUTY SALON,DEAL 15,DEAL 15 HAIR DEAL Fashion Dye Hair Cut Blow Dry or Curls Hair Shining serum (Shoulder Length),"Rs. 6,000/-","DEAL 15 HAIR DEAL Fashion Dye Hair Cut Blow Dry or Curls Hair Shining serum (Shoulder Length) Rs. 6,000/-"
THE HOUSE OF BEAUTY,DEAL 13,DEAL 13 BIRTH WEEK! CRAZY DEAL Basic Manicure (25 Mins) Free Half Hands Wax,Rs. 500/-,DEAL 13 BIRTH WEEK! CRAZY DEAL Basic Manicure (25 Mins) Free Half Hands Wax Rs. 500/-
INSIMVA SALON,DEAL 12,DEAL 12 HIGHLIGHTS Hair Cut Deep Conditioning Foot Massage Upper Lips Thread Eyebrows Thread,"Rs. 4,555/-","DEAL 12 HIGHLIGHTS Hair Cut Deep Conditioning Foot Massage Upper Lips Thread Eyebrows Thread Rs. 4,555/- BUY IEGETS SERVICES FREE coms ae"
NMS BEAUTY SALON,Unknown Deal,DEAL il SKIN DEAL Whitening / Acne Brightening Sandal / Oxy Bleach Whitening Manicure Whitening Pedicure Hand Bleach and Feet Bleach Eyebrows / Upper Lips,"Rs. 6,800/-","DEAL il SKIN DEAL Whitening / Acne Brightening Sandal / Oxy Bleach Whitening Manicure Whitening Pedicure Hand Bleach and Feet Bleach Eyebrows / Upper Lips Rs. 6,800/-"
INSIMVA SALON,DEAL 9,DEAL 9 SILK ON HAIR - PROTEIN TREATMENT Hair Trimming Blow Dry Half Arms Wax (Honey wax) Half Legs Wax (Honey wax),"Rs. 1,999/-","DEAL 9 SILK ON HAIR - PROTEIN TREATMENT Hair Trimming Blow Dry Half Arms Wax (Honey wax) Half Legs Wax (Honey wax) Rs. 1,999/- . BUY 1 GET GSERVICES FREE"
VANITY SALON SPA,DEAL 8,DEAL 8 DIWALI SPECIAL DEAL Full Hands Mehndi (both Hands) Nail Paint Application,"Rs. 1,000/-","DEAL 8 DIWALI SPECIAL DEAL Full Hands Mehndi (both Hands) Nail Paint Application Rs. 1,000/-"
AIMS BEAUTY SALON,DEAL 7,DEAL 7 SKIN DEAL Hydra Rejuvenating Facial Whitening Bleach Half Arms Waxing and Half Legs Waxing Simple Manicure and Simple Pedicure Eyebrows / Upper Lips Face Massage,"Rs. 7,000/-","DEAL 7 SKIN DEAL Hydra Rejuvenating Facial Whitening Bleach Half Arms Waxing and Half Legs Waxing Simple Manicure and Simple Pedicure Eyebrows / Upper Lips Face Massage Rs. 7,000/-"
INSIWVA SYNLOIN,DEAL 6,DEAL 6 WHITENING CHERRY FACIAL Face Polish Lifting Serum Whitening Manicure Whitening Pedicure Half Hand Wax (Honey wax),"Rs. 2,499/-","DEAL 6 WHITENING CHERRY FACIAL Face Polish Lifting Serum Whitening Manicure Whitening Pedicure Half Hand Wax (Honey wax) Rs. 2,499/- BUY 1 GET S SERVICES FREE"
AIMS BEAUTY SALON,DEAL 5,DEAL 5 SKIN DEAL Gold Facial Whitening Bleach / Face Wax Hand Massage Back Massage / Shoulder Massage Eyebrows / Upper Lips Hand Bleach / Feet Bleach,"Rs. 4,500/-","DEAL 5 SKIN DEAL Gold Facial Whitening Bleach / Face Wax Hand Massage Back Massage / Shoulder Massage Eyebrows / Upper Lips Hand Bleach / Feet Bleach Rs. 4,500/-"
THE HOUSE OF BEAUTY,DEAL 4,DEAL 4 BIRTH WEEK! CRAZY DEAL Whitening Facial Face Polish / Bleach Free Half Hands Wax,"Rs. 1,000/-","DEAL 4 BIRTH WEEK! CRAZY DEAL Whitening Facial Face Polish / Bleach Free Half Hands Wax Rs. 1,000/-"
[NSMVA SYALOIN,DEAL 41,DEAL 41 HYDRAFACIAL Manicure Pedicure Eyebrows Upper Lips,"Rs. 4,999/-","DEAL 41 HYDRAFACIAL Manicure Pedicure Eyebrows Upper Lips Rs. 4,999/-"
